,ID,Count
0,18288,482.9082752950002
1,18289,385.3860681501969
2,18290,326.15531544750115
3,18291,269.490484949689
4,18292,226.83095558354876
5,18293,203.05112137039734
6,18294,218.3350927647038
7,18295,253.2110387200434
8,18296,291.58830995830135
9,18297,376.7958068555871
10,18298,534.8188552861053
11,18299,592.9168262796218
12,18300,599.1986157577983
13,18301,529.9444612647883
14,18302,566.6397232985073
15,18303,559.4826024996014
16,18304,545.2026876202497
17,18305,557.9035734504421
18,18306,571.6342608344341
19,18307,606.561696867464
20,18308,582.8848428096919
21,18309,544.0613242314546
22,18310,546.0351105429035
23,18311,533.1282644019516
24,18312,367.4259652801494
25,18313,293.2251430338526
26,18314,248.15878654459348
27,18315,205.04473961637296
28,18316,172.5867769811792
29,18317,154.493633858644
30,18318,166.1226082004829
31,18319,192.65834751841223
32,18320,221.85810790959854
33,18321,286.6891501555931
34,18322,406.922689476546
35,18323,451.1271567950457
36,18324,455.9067240147123
37,18325,403.21395425691423
38,18326,431.133939818791
39,18327,425.68836733081037
40,18328,414.82334020850857
41,18329,424.48694606247886
42,18330,434.93408752623054
43,18331,461.50900362464904
44,18332,443.49421406309165
45,18333,413.9549215743337
46,18334,415.456698159748
47,18335,405.63638518382174
48,18336,361.90533573337785
49,18337,288.81939183100894
50,18338,244.43016402265363
51,18339,201.96391203503111
52,18340,169.99363509568968
53,18341,152.17234412829563
54,18342,163.6265914083134
55,18343,189.76362731285633
56,18344,218.5246569794698
57,18345,282.3816032137731
58,18346,400.80861579897373
59,18347,444.34890444901225
60,18348,449.05665796331505
61,18349,397.1556048753073
62,18350,424.65608851896553
63,18351,419.29233656414544
64,18352,408.5905580835451
65,18353,418.1089668283097
66,18354,428.3991384442714
67,18355,454.5747624923744
68,18356,436.83064781209976
69,18357,407.7351875679677
70,18358,409.2143997377623
71,18359,399.54163841875857
72,18360,511.25514455461763
73,18361,408.00835285148514
74,18362,345.3007361377382
75,18363,285.30966207791914
76,18364,240.14600477800082
77,18365,214.97028673775242
78,18366,231.15143211114935
79,18367,268.0746071799217
80,18368,308.7046364386696
81,18369,398.9138404883356
82,18370,566.2128920917744
83,18371,627.7212324499415
84,18372,634.37176496725
85,18373,561.0523695920052
86,18374,599.9016551712554
87,18375,592.324409106453
88,18376,577.2062586845934
89,18377,590.6526905501895
90,18378,605.1893736481313
91,18379,642.1670612785213
92,18380,617.1003683615069
93,18381,575.9978969020763
94,18382,578.0875450974055
95,18383,564.4230629853406
96,18384,504.9168567097016
97,18385,402.95006754903477
98,18386,341.01986878214615
99,18387,281.77253431999515
100,18388,237.16879365494106
101,18389,212.3051916869535
102,18390,228.2857312412611
103,18391,264.7511510889334
104,18392,304.8774693858803
105,18393,393.96830444186963
106,18394,559.1932653363185
107,18395,619.9390557813833
108,18396,626.5071382933168
109,18397,554.0967204363487
110,18398,592.4643718311935
111,18399,584.9810647069417
112,18400,570.0503416197058
113,18401,583.3300712886414
114,18402,597.686535795599
115,18403,634.2057923851727
116,18404,609.4498639009868
117,18405,568.8569605075642
118,18406,570.9207022804394
119,18407,557.4256256438997
120,18408,520.1559668492876
121,18409,415.11167470976363
122,18410,351.3123343061209
123,18411,290.27683087447025
124,18412,244.32688576486322
125,18413,218.71286486389312
126,18414,235.17571987097654
127,18415,272.7417180454771
128,18416,314.07910580048895
129,18417,405.8588291948339
130,18418,576.0705148211271
131,18419,638.6496997722517
132,18420,645.4160163725803
133,18421,570.8201489345336
134,18422,610.3457907145943
135,18423,602.636626719138
136,18424,587.255273135878
137,18425,600.9358039671428
138,18426,615.7255670279698
139,18427,653.3470268139487
140,18428,627.8439291359342
141,18429,586.025874081446
142,18430,588.1519025214399
143,18431,574.2495252442629
144,18432,504.1052917741089
145,18433,402.30239627153276
146,18434,340.47173939378007
147,18435,281.31963458882484
148,18436,236.78758658255003
149,18437,211.96394847645703
150,18438,227.91880212746827
151,18439,264.325610233986
152,18440,304.3874325401743
153,18441,393.33506976695026
154,18442,558.294460631473
155,18443,618.942612915215
156,18444,625.5001383910939
157,18445,553.2061075299716
158,18446,591.5120896814166
159,18447,584.0408106556202
160,18448,569.1340860765735
161,18449,582.3924709185139
162,18450,596.725859936828
163,18451,633.1864182521647
164,18452,608.4702805637085
165,18453,567.9426231144254
166,18454,570.0030477858081
167,18455,556.5296621085934
168,18456,491.4907677294059
169,18457,392.23534612582046
170,18458,331.95191424374127
171,18459,274.28000744609295
172,18460,230.86231114272937
173,18461,206.65984957430823
174,18462,222.21545551200526
175,18463,257.71123458600823
176,18464,296.77056628358275
177,18465,383.4924143214218
178,18466,544.3239290528916
179,18467,603.4544468508743
180,18468,609.8478794990463
181,18469,539.3629048122338
182,18470,576.7103337788772
183,18471,569.4260129748125
184,18472,554.8923081571104
185,18473,567.8189206151625
186,18474,581.7936367860298
187,18475,617.3418210456738
188,18476,593.2441698485336
189,18477,553.7306598754063
190,18478,555.7395253249686
191,18479,542.6032921243537
192,18480,376.0084596463498
193,18481,300.0744225511495
194,18482,253.955386645564
195,18483,209.83426319082903
196,18484,176.6181334477596
197,18485,158.1023628748273
